id,description,raised_date,raised_by,owner_name,owner_org,priority,status,linked_assets,deadline
C-001,Exercise on what's included in security vendor scope vs not (e.g. locks not in security scope),2026-03-12,FL,JM MEP Consultant,MEP Consultant,Medium,working,ADMIN-SEC-01;ADMIN-SEC-02,2026-06-12
C-002,Model review - Main Contractor and MEP Consultant coordination on security model updates,2026-03-12,MD,FL Portal,Portal,Medium,working,ADMIN-SEC-01;ADMIN-SEC-02,2026-06-12
C-003,FoK list for security camera and card reader locations - federated model only 90% complete,2026-03-12,MD,GV Specialist Sub,Specialist Sub,Medium,working,ADMIN-SEC-01;ADMIN-SEC-02,2026-06-12
C-004,FoK list to be provided by GV - issued 03/04/2026 but not received by Main Contractor,2026-03-12,SC,GV Specialist Sub,Specialist Sub,Medium,working,ADMIN-SEC-01;ADMIN-SEC-02,2026-06-12
C-005,Workshop on underground ducts with Main Contractor/MEP Consultant/Specialist Sub/Portal,2026-04-10,DON,SC,Main Contractor,Medium,working,ADMIN-SEC-01,2026-06-10
C-006,Power requirements for doors - GV Specialist Sub to review,2026-04-10,SC,GV Specialist Sub,Specialist Sub,Medium,working,ADMIN-SEC-01;ADMIN-SEC-02,2026-06-10
C-007,Dog box scope - JM Main Contractor to confirm,2026-05-08,SC,JM Main Contractor,Main Contractor,Medium,working,ADMIN-SEC-02,2026-06-08
C-008,SCP Details for plinth - JM Main Contractor review,2026-05-08,GV,JM Main Contractor,Main Contractor,Medium,working,ADMIN-SEC-02,2026-06-08
C-009,Security model updates - JM MEP Consultant to update model with correct SCP details,2026-05-22,GV,JM MEP Consultant,MEP Consultant,Medium,working,ADMIN-SEC-01;ADMIN-SEC-02,2026-06-22
C-010,EPED spurs cannot be de-energised - scope to be confirmed,2026-05-22,SC,JM Main Contractor,Main Contractor,Medium,working,ADMIN-SEC-02,2026-06-22
C-011,Earthing in Colo - frame for AC - multiple HRU and CRAC units need earthing schedule,2026-05-13,Commissioning Lead,Design Coordinator,Main Contractor,Critical,awaiting-input,COLO-EWS-01;COLO-EWS-02;COLO-HRU-01;COLO-HRU-02,2026-06-13
C-012,Co-ordination PNLs/UPMs - Power Sub deliverables not yet installed despite delivery 30+ days ago,2026-05-15,Commissioning Lead,Power PM,Power Sub,Critical,unowned,MER1-PNL-01;MER1-PNL-02;MER1-UPM-01;MER1-UPM-02,2026-06-15
C-013,Fire stop sign-off chain - who certifies cross-org installs?,2026-05-19,Commissioning Lead,,,High,unowned,ADMIN-FAS-01;ADMIN-FAS-02,2026-06-19
C-014,MER1 cable tray clash with structural beam at column grid G7,2026-05-14,Site Manager,Design Coordinator,Main Contractor,High,awaiting-input,MER1-CT-01;MER1-CT-02,2026-06-14
C-015,Robust Verification process delay - paperwork chain for red tag close-out not flowing,2026-05-08,Commissioning Lead,QA Engineer,Main Contractor,High,working,COLO-HRU-01;COLO-HRU-02;COLO-EWS-01,2026-06-08
C-016,Asbestos Check process adding 4-6 days to every red tag close-out cycle,2026-05-10,Commissioning Lead,Site Manager,Main Contractor,Medium,working,COLO-EWS-01;COLO-EWS-02,2026-06-10
C-017,Residual Verification PM - backlog of 9 items pending project manager sign-off,2026-05-11,Commissioning Lead,Commissioning Lead,Main Contractor,High,working,COLO-CRAC-03;COLO-EWSD-04;COLO-EWSD-05,2026-06-11
C-018,AHU red tag chain - Design Lead Rev D drawing 5 days overdue,2026-05-20,Site Manager,Design Coordinator,Main Contractor,Critical,awaiting-input,MER1-AHU-01;MER1-AHU-02;MER1-AHU-03,2026-06-20
C-019,Hyperscale Client witness sign-off slots not booked for July red tags,2026-05-22,Client Cx Manager,Client Cx Manager,Hyperscale Client,High,working,,2026-06-22
C-020,Generator commissioning sequence - Main Contractor and Power Sub handoff unclear,2026-05-21,Electrical Lead,,,High,unowned,MER1-GEN-01,2026-06-21
